"Year","Month","sex","race","age_x","obitos"
2010,8,"Male","Brown",15,34
2010,8,"Male","Brown",20,44
2010,8,"Male","Brown",25,50
2010,8,"Male","Brown",30,37
2010,8,"Male","Brown",35,47
2010,8,"Male","Brown",40,34
2010,8,"Male","Brown",45,49
2010,8,"Male","Brown",50,52
2010,8,"Male","Brown",55,60
2010,8,"Male","Brown",60,49
2010,8,"Male","Brown",65,80
2010,8,"Male","Brown",70,79
2010,8,"Male","Brown",75,64
2010,8,"Male","Brown",80,143
2010,8,"Female","Indigenous",0,1
2010,8,"Female","Indigenous",20,1
2010,8,"Female","Indigenous",60,1
2010,8,"Female","Indigenous",80,1
2010,8,"Male","Indigenous",0,6
2010,8,"Male","Indigenous",20,1
2010,8,"Male","Indigenous",55,1
2010,8,"Male","Indigenous",80,1
2010,8,"Female","White",0,18
2010,8,"Female","White",5,1
2010,8,"Female","White",10,1
2010,8,"Female","White",15,2
2010,8,"Female","White",20,2
2010,8,"Female","White",25,4
2010,8,"Female","White",30,3
2010,8,"Female","White",35,4
2010,8,"Female","White",40,10
2010,8,"Female","White",45,9
2010,8,"Female","White",50,8
2010,8,"Female","White",55,10
2010,8,"Female","White",60,15
2010,8,"Female","White",65,19
2010,8,"Female","White",70,19
2010,8,"Female","White",75,22
2010,8,"Female","White",80,64
2010,8,"Male","White",0,4
2010,8,"Male","White",5,1
2010,8,"Male","White",10,3
2010,8,"Male","White",15,4
2010,8,"Male","White",20,8
2010,8,"Male","White",25,5
2010,8,"Male","White",30,7
2010,8,"Male","White",35,3
2010,8,"Male","White",40,6
2010,8,"Male","White",45,6
2010,8,"Male","White",50,12
2010,8,"Male","White",55,14
2010,8,"Male","White",60,12
2010,8,"Male","White",65,16
2010,8,"Male","White",70,32
2010,8,"Male","White",75,31
2010,8,"Male","White",80,59
2010,9,"Female","Asian",0,1
2010,9,"Female","Asian",40,1
2010,9,"Female","Asian",60,1
2010,9,"Female","Asian",65,1
2010,9,"Female","Asian",80,1
2010,9,"Male","Asian",30,1
2010,9,"Male","Asian",50,1
2010,9,"Male","Asian",55,1
2010,9,"Male","Asian",60,1
2010,9,"Male","Asian",70,3
2010,9,"Male","Asian",75,2
2010,9,"Female","Black",0,2
2010,9,"Female","Black",10,1
2010,9,"Female","Black",20,2
2010,9,"Female","Black",30,2
2010,9,"Female","Black",35,1
2010,9,"Female","Black",40,3
2010,9,"Female","Black",45,2
2010,9,"Female","Black",50,3
2010,9,"Female","Black",55,2
2010,9,"Female","Black",60,4
2010,9,"Female","Black",65,10
2010,9,"Female","Black",70,12
2010,9,"Female","Black",75,4
2010,9,"Female","Black",80,26
2010,9,"Male","Black",0,5
2010,9,"Male","Black",10,1
2010,9,"Male","Black",15,2
2010,9,"Male","Black",20,5
2010,9,"Male","Black",25,7
2010,9,"Male","Black",30,9
2010,9,"Male","Black",35,5
2010,9,"Male","Black",40,7
2010,9,"Male","Black",45,7
2010,9,"Male","Black",50,6
2010,9,"Male","Black",55,13
2010,9,"Male","Black",60,8
2010,9,"Male","Black",65,11
2010,9,"Male","Black",70,9
2010,9,"Male","Black",75,22
2010,9,"Male","Black",80,14
2010,9,"Female","Brown",0,60
2010,9,"Female","Brown",5,5
2010,9,"Female","Brown",10,9
2010,9,"Female","Brown",15,11
2010,9,"Female","Brown",20,15
2010,9,"Female","Brown",25,14
2010,9,"Female","Brown",30,15
2010,9,"Female","Brown",35,12
2010,9,"Female","Brown",40,30
2010,9,"Female","Brown",45,30
2010,9,"Female","Brown",50,36
2010,9,"Female","Brown",55,33
2010,9,"Female","Brown",60,28
2010,9,"Female","Brown",65,47
2010,9,"Female","Brown",70,55
2010,9,"Female","Brown",75,50
2010,9,"Female","Brown",80,159
2010,9,"Male","Brown",0,83
2010,9,"Male","Brown",5,6
2010,9,"Male","Brown",10,8
