"sex","race","age_x","N_t2"
"Male","Asian",0,13847
"Male","Asian",5,17081
"Male","Asian",10,18147
"Male","Asian",15,20333
"Male","Asian",20,23298
"Male","Asian",25,24400
"Male","Asian",30,27094
"Male","Asian",35,30934
"Male","Asian",40,33179
"Male","Asian",45,28133
"Male","Asian",50,27051
"Male","Asian",55,26122
"Male","Asian",60,24862
"Male","Asian",65,24527
"Male","Asian",70,23145
"Male","Asian",75,17676
"Male","Asian",80,21028
"Male","White",0,2936502
"Male","White",5,2919649
"Male","White",10,2746653
"Male","White",15,2796168
"Male","White",20,2993920
"Male","White",25,3002922
"Male","White",30,3054685
"Male","White",35,3174793
"Male","White",40,3207717
"Male","White",45,2722514
"Male","White",50,2608728
"Male","White",55,2495474
"Male","White",60,2203643
"Male","White",65,1774006
"Male","White",70,1336551
"Male","White",75,870913
"Male","White",80,943728
"Male","Indigenous",0,70783
"Male","Indigenous",5,69275
"Male","Indigenous",10,65344
"Male","Indigenous",15,62651
"Male","Indigenous",20,56496
"Male","Indigenous",25,47479
"Male","Indigenous",30,41268
"Male","Indigenous",35,38625
"Male","Indigenous",40,34616
"Male","Indigenous",45,28873
"Male","Indigenous",50,24057
"Male","Indigenous",55,20117
"Male","Indigenous",60,16648
"Male","Indigenous",65,12570
"Male","Indigenous",70,9084
"Male","Indigenous",75,5844
"Male","Indigenous",80,7338
"Male","Brown",0,3030829
"Male","Brown",5,3481113
"Male","Brown",10,3580594
"Male","Brown",15,3696331
"Male","Brown",20,3782184
"Male","Brown",25,3616257
"Male","Brown",30,3499441
"Male","Brown",35,3623453
"Male","Brown",40,3540880
"Male","Brown",45,2963694
"Male","Brown",50,2637776
"Male","Brown",55,2270741
"Male","Brown",60,1860962
"Male","Brown",65,1405388
"Male","Brown",70,986251
"Male","Brown",75,604296
"Male","Brown",80,619387
"Male","Black",0,409443
"Male","Black",5,523883
"Male","Black",10,581729
"Male","Black",15,741701
"Male","Black",20,910533
"Male","Black",25,935525
"Male","Black",30,914062
"Male","Black",35,958928
"Male","Black",40,964121
"Male","Black",45,805526
"Male","Black",50,716473
"Male","Black",55,606760
"Male","Black",60,499513
"Male","Black",65,371432
"Male","Black",70,260218
"Male","Black",75,159000
"Male","Black",80,167173
"Female","Asian",0,13301
"Female","Asian",5,16110
"Female","Asian",10,17718
"Female","Asian",15,21733
"Female","Asian",20,26242
"Female","Asian",25,27285
"Female","Asian",30,29781
"Female","Asian",35,34139
"Female","Asian",40,36396
"Female","Asian",45,31627
"Female","Asian",50,29768
"Female","Asian",55,29653
"Female","Asian",60,28358
"Female","Asian",65,28140
"Female","Asian",70,27423
"Female","Asian",75,21710
"Female","Asian",80,29889
"Female","White",0,2847942
"Female","White",5,2815155
"Female","White",10,2662301
"Female","White",15,2814407
"Female","White",20,3082684
"Female","White",25,3180029
"Female","White",30,3320342
"Female","White",35,3550306
"Female","White",40,3619746
"Female","White",45,3135533
"Female","White",50,3019482
"Female","White",55,2947033
"Female","White",60,2648222
"Female","White",65,2205720
"Female","White",70,1735928
"Female","White",75,1220095
"Female","White",80,1658630
"Female","Indigenous",0,68596
"Female","Indigenous",5,66165
"Female","Indigenous",10,62845
"Female","Indigenous",15,60585
"Female","Indigenous",20,56125
"Female","Indigenous",25,48283
"Female","Indigenous",30,42326
"Female","Indigenous",35,39600
"Female","Indigenous",40,35180
"Female","Indigenous",45,28980
"Female","Indigenous",50,24707
"Female","Indigenous",55,21795
"Female","Indigenous",60,18153
"Female","Indigenous",65,14376
"Female","Indigenous",70,10602
"Female","Indigenous",75,7684
"Female","Indigenous",80,10572
"Female","Brown",0,2920727
"Female","Brown",5,3343711
"Female","Brown",10,3411297
"Female","Brown",15,3500052
"Female","Brown",20,3718429
"Female","Brown",25,3739444
"Female","Brown",30,3709084
"Female","Brown",35,3829243
"Female","Brown",40,3712348
"Female","Brown",45,3141104
"Female","Brown",50,2822603
"Female","Brown",55,2532029
"Female","Brown",60,2104804
"Female","Brown",65,1616199
"Female","Brown",70,1158231
"Female","Brown",75,741534
"Female","Brown",80,882870
"Female","Black",0,392331
"Female","Black",5,496750
"Female","Black",10,527802
"Female","Black",15,661358
"Female","Black",20,815267
"Female","Black",25,846769
"Female","Black",30,833882
"Female","Black",35,891759
"Female","Black",40,887038
"Female","Black",45,753421
"Female","Black",50,687328
"Female","Black",55,618870
"Female","Black",60,538793
"Female","Black",65,423586
"Female","Black",70,310853
"Female","Black",75,198500
"Female","Black",80,246131
